time,x,y
0.000,340.000,348.600
0.001,340.006,348.615
0.002,340.012,348.630
0.003,340.018,348.645
0.004,340.023,348.659
0.005,340.029,348.674
0.006,340.035,348.689
0.007,340.041,348.704
0.008,340.047,348.719
0.009,340.053,348.734
0.010,340.058,348.749
0.011,340.064,348.763
0.012,340.070,348.778
0.013,340.076,348.793
0.014,340.082,348.808
0.015,340.088,348.823
0.016,340.093,348.838
0.017,340.099,348.852
0.018,340.105,348.867
0.019,340.111,348.882
0.020,340.117,348.897
0.021,340.123,348.912
0.022,340.128,348.927
0.023,340.134,348.942
0.024,340.140,348.956
0.025,340.146,348.971
0.026,340.152,348.986
0.027,340.158,349.001
0.028,340.164,349.016
0.029,340.169,349.031
0.030,340.175,349.046
0.031,340.181,349.060
0.032,340.187,349.075
0.033,340.193,349.090
0.034,340.199,349.105
0.035,340.204,349.120
0.036,340.210,349.135
0.037,340.216,349.149
0.038,340.222,349.164
0.039,340.228,349.179
0.040,340.234,349.194
0.041,340.239,349.209
0.042,340.245,349.224
0.043,340.251,349.239
0.044,340.257,349.253
0.045,340.263,349.268
0.046,340.269,349.283
0.047,340.274,349.298
0.048,340.280,349.313
0.049,340.286,349.328
0.050,340.292,349.343
0.051,340.298,349.357
0.052,340.304,349.372
0.053,340.310,349.387
0.054,340.315,349.402
0.055,340.321,349.417
0.056,340.327,349.432
0.057,340.333,349.446
0.058,340.339,349.461
0.059,340.345,349.476
0.060,340.350,349.491
0.061,340.356,349.506
0.062,340.362,349.521
0.063,340.368,349.536
0.064,340.374,349.550
0.065,340.380,349.565
0.066,340.385,349.580
0.067,340.391,349.595
0.068,340.397,349.610
0.069,340.403,349.625
0.070,340.409,349.640
0.071,340.415,349.654
0.072,340.420,349.669
0.073,340.426,349.684
0.074,340.432,349.699
0.075,340.438,349.714
0.076,340.444,349.729
0.077,340.450,349.743
0.078,340.456,349.758
0.079,340.461,349.773
0.080,340.467,349.788
0.081,340.473,349.803
0.082,340.479,349.818
0.083,340.485,349.833
0.084,340.491,349.847
0.085,340.496,349.862
0.086,340.502,349.877
0.087,340.508,349.892
0.088,340.514,349.907
0.089,340.520,349.922
0.090,340.526,349.937
0.091,340.531,349.951
0.092,340.537,349.966
0.093,340.543,349.981
0.094,340.549,349.996
0.095,340.555,350.011
0.096,340.561,350.026
0.097,340.566,350.040
0.098,340.572,350.055
0.099,340.578,350.070
0.100,340.584,350.085
0.101,340.590,350.100
0.102,340.596,350.115
0.103,340.602,350.130
0.104,340.607,350.144
0.105,340.613,350.159
0.106,340.619,350.174
0.107,340.625,350.189
0.108,340.631,350.204
0.109,340.637,350.219
0.110,340.642,350.234
0.111,340.648,350.248
0.112,340.654,350.263
0.113,340.660,350.278
0.114,340.666,350.293
0.115,340.672,350.308
0.116,340.677,350.323
0.117,340.683,350.337
0.118,340.689,350.352
0.119,340.695,350.367
0.120,340.701,350.382
0.121,340.707,350.397
0.122,340.712,350.412
0.123,340.718,350.427
0.124,340.724,350.441
0.125,340.730,350.456
0.126,340.736,350.471
0.127,340.742,350.486
0.128,340.748,350.501
0.129,340.753,350.516
0.130,340.759,350.531
0.131,340.765,350.545
0.132,340.771,350.560
0.133,340.777,350.575
0.134,340.783,350.590
0.135,340.788,350.605
0.136,340.794,350.620
0.137,340.800,350.634
0.138,340.806,350.649
0.139,340.812,350.664
0.140,340.818,350.679
0.141,340.823,350.694
0.142,340.829,350.709
0.143,340.835,350.724
0.144,340.841,350.738
0.145,340.847,350.753
0.146,340.853,350.768
0.147,340.858,350.783
0.148,340.864,350.798
0.149,340.870,350.813
0.150,340.876,350.828
0.151,340.882,350.842
0.152,340.888,350.857
0.153,340.894,350.872
0.154,340.899,350.887
0.155,340.905,350.902
0.156,340.911,350.917
0.157,340.917,350.931
0.158,340.923,350.946
0.159,340.929,350.961
0.160,340.934,350.976
0.161,340.940,350.991
0.162,340.946,351.006
0.163,340.952,351.021
0.164,340.958,351.035
0.165,340.964,351.050
0.166,340.969,351.065
0.167,340.975,351.080
0.168,340.981,351.095
0.169,340.987,351.110
0.170,340.993,351.125
0.171,340.999,351.139
0.172,341.004,351.154
0.173,341.010,351.169
0.174,341.016,351.184
0.175,341.022,351.199
0.176,341.028,351.214
