time,bytesRx,mac_address
1.052,536,04-07-07:00:00:03:a0:0f:00
1.054,536,04-07-07:00:00:03:a0:0f:00
1.057,536,04-07-07:00:00:03:a0:0f:00
1.059,536,04-07-07:00:00:02:a0:0f:00
1.060,536,04-07-07:00:00:03:a0:0f:00
1.063,536,04-07-07:00:00:03:a0:0f:00
1.066,536,04-07-07:00:00:03:a0:0f:00
1.068,536,04-07-07:00:00:02:a0:0f:00
1.069,536,04-07-07:00:00:03:a0:0f:00
1.072,536,04-07-07:00:00:03:a0:0f:00
1.074,536,04-07-07:00:00:03:a0:0f:00
1.077,536,04-07-07:00:00:03:a0:0f:00
1.078,536,04-07-07:00:00:02:a0:0f:00
1.082,536,04-07-07:00:00:02:a0:0f:00
1.086,536,04-07-07:00:00:02:a0:0f:00
1.089,536,04-07-07:00:00:02:a0:0f:00
1.102,536,04-07-07:00:00:03:a0:0f:00
1.103,536,04-07-07:00:00:03:a0:0f:00
1.105,536,04-07-07:00:00:03:a0:0f:00
1.106,536,04-07-07:00:00:03:a0:0f:00
1.108,536,04-07-07:00:00:03:a0:0f:00
1.109,536,04-07-07:00:00:03:a0:0f:00
1.110,536,04-07-07:00:00:03:a0:0f:00
1.112,536,04-07-07:00:00:03:a0:0f:00
1.113,536,04-07-07:00:00:03:a0:0f:00
1.115,536,04-07-07:00:00:03:a0:0f:00
1.117,536,04-07-07:00:00:03:a0:0f:00
1.120,536,04-07-07:00:00:03:a0:0f:00
1.123,536,04-07-07:00:00:03:a0:0f:00
1.126,536,04-07-07:00:00:03:a0:0f:00
1.152,536,04-07-07:00:00:03:a0:0f:00
1.153,536,04-07-07:00:00:03:a0:0f:00
1.155,536,04-07-07:00:00:03:a0:0f:00
1.156,536,04-07-07:00:00:03:a0:0f:00
1.158,536,04-07-07:00:00:03:a0:0f:00
1.159,536,04-07-07:00:00:03:a0:0f:00
1.160,536,04-07-07:00:00:03:a0:0f:00
1.162,536,04-07-07:00:00:03:a0:0f:00
1.163,536,04-07-07:00:00:03:a0:0f:00
1.165,536,04-07-07:00:00:03:a0:0f:00
1.166,536,04-07-07:00:00:03:a0:0f:00
1.167,536,04-07-07:00:00:03:a0:0f:00
1.169,536,04-07-07:00:00:03:a0:0f:00
1.170,536,04-07-07:00:00:03:a0:0f:00
1.172,536,04-07-07:00:00:03:a0:0f:00
1.173,536,04-07-07:00:00:03:a0:0f:00
1.175,536,04-07-07:00:00:03:a0:0f:00
1.176,536,04-07-07:00:00:03:a0:0f:00
1.177,536,04-07-07:00:00:03:a0:0f:00
1.179,536,04-07-07:00:00:03:a0:0f:00
1.180,536,04-07-07:00:00:03:a0:0f:00
1.195,536,04-07-07:00:00:03:a0:0f:00
1.196,536,04-07-07:00:00:03:a0:0f:00
1.198,536,04-07-07:00:00:03:a0:0f:00
1.199,536,04-07-07:00:00:03:a0:0f:00
1.201,536,04-07-07:00:00:03:a0:0f:00
1.202,536,04-07-07:00:00:03:a0:0f:00
1.203,536,04-07-07:00:00:03:a0:0f:00
1.205,536,04-07-07:00:00:03:a0:0f:00
1.206,536,04-07-07:00:00:03:a0:0f:00
1.208,536,04-07-07:00:00:03:a0:0f:00
1.209,536,04-07-07:00:00:03:a0:0f:00
1.210,536,04-07-07:00:00:03:a0:0f:00
1.212,536,04-07-07:00:00:03:a0:0f:00
1.213,536,04-07-07:00:00:03:a0:0f:00
1.215,536,04-07-07:00:00:03:a0:0f:00
1.216,536,04-07-07:00:00:03:a0:0f:00
1.218,536,04-07-07:00:00:03:a0:0f:00
1.219,536,04-07-07:00:00:03:a0:0f:00
1.220,536,04-07-07:00:00:03:a0:0f:00
1.222,536,04-07-07:00:00:03:a0:0f:00
1.223,536,04-07-07:00:00:03:a0:0f:00
1.225,536,04-07-07:00:00:03:a0:0f:00
1.226,536,04-07-07:00:00:03:a0:0f:00
1.227,536,04-07-07:00:00:03:a0:0f:00
1.229,536,04-07-07:00:00:03:a0:0f:00
1.230,536,04-07-07:00:00:03:a0:0f:00
1.232,536,04-07-07:00:00:03:a0:0f:00
1.233,536,04-07-07:00:00:03:a0:0f:00
1.234,536,04-07-07:00:00:03:a0:0f:00
1.236,536,04-07-07:00:00:03:a0:0f:00
1.237,536,04-07-07:00:00:03:a0:0f:00
1.297,536,04-07-07:00:00:03:a0:0f:00
1.298,17152,04-07-07:00:00:03:a0:0f:00
1.323,536,04-07-07:00:00:03:a0:0f:00
1.325,2680,04-07-07:00:00:03:a0:0f:00
1.327,536,04-07-07:00:00:03:a0:0f:00
1.329,536,04-07-07:00:00:03:a0:0f:00
1.331,536,04-07-07:00:00:03:a0:0f:00
1.332,536,04-07-07:00:00:03:a0:0f:00
1.334,9648,04-07-07:00:00:03:a0:0f:00
1.335,536,04-07-07:00:00:03:a0:0f:00
1.337,536,04-07-07:00:00:03:a0:0f:00
1.338,536,04-07-07:00:00:03:a0:0f:00
1.339,536,04-07-07:00:00:03:a0:0f:00
1.341,536,04-07-07:00:00:03:a0:0f:00
1.342,536,04-07-07:00:00:03:a0:0f:00
1.344,536,04-07-07:00:00:03:a0:0f:00
1.345,536,04-07-07:00:00:03:a0:0f:00
1.346,536,04-07-07:00:00:03:a0:0f:00
1.348,536,04-07-07:00:00:03:a0:0f:00
1.349,536,04-07-07:00:00:03:a0:0f:00
1.351,536,04-07-07:00:00:03:a0:0f:00
1.352,536,04-07-07:00:00:03:a0:0f:00
1.354,536,04-07-07:00:00:03:a0:0f:00
1.355,536,04-07-07:00:00:03:a0:0f:00
1.359,536,04-07-07:00:00:03:a0:0f:00
1.361,536,04-07-07:00:00:03:a0:0f:00
1.367,536,04-07-07:00:00:03:a0:0f:00
1.368,536,04-07-07:00:00:03:a0:0f:00
1.370,536,04-07-07:00:00:03:a0:0f:00
1.371,536,04-07-07:00:00:03:a0:0f:00
1.373,536,04-07-07:00:00:03:a0:0f:00
1.375,536,04-07-07:00:00:03:a0:0f:00
1.376,536,04-07-07:00:00:03:a0:0f:00
1.378,536,04-07-07:00:00:03:a0:0f:00
1.379,536,04-07-07:00:00:03:a0:0f:00
1.381,536,04-07-07:00:00:03:a0:0f:00
1.382,536,04-07-07:00:00:03:a0:0f:00
1.383,536,04-07-07:00:00:03:a0:0f:00
1.385,536,04-07-07:00:00:03:a0:0f:00
1.386,536,04-07-07:00:00:03:a0:0f:00
1.388,536,04-07-07:00:00:03:a0:0f:00
1.389,536,04-07-07:00:00:03:a0:0f:00
1.390,536,04-07-07:00:00:03:a0:0f:00
1.392,536,04-07-07:00:00:03:a0:0f:00
1.393,536,04-07-07:00:00:03:a0:0f:00
1.397,536,04-07-07:00:00:03:a0:0f:00
1.398,536,04-07-07:00:00:03:a0:0f:00
1.403,536,04-07-07:00:00:03:a0:0f:00
1.404,536,04-07-07:00:00:03:a0:0f:00
1.406,536,04-07-07:00:00:03:a0:0f:00
1.407,536,04-07-07:00:00:03:a0:0f:00
1.409,536,04-07-07:00:00:03:a0:0f:00
1.410,536,04-07-07:00:00:03:a0:0f:00
1.411,536,04-07-07:00:00:03:a0:0f:00
1.413,536,04-07-07:00:00:03:a0:0f:00
1.414,536,04-07-07:00:00:03:a0:0f:00
1.416,536,04-07-07:00:00:03:a0:0f:00
1.417,536,04-07-07:00:00:03:a0:0f:00
1.419,536,04-07-07:00:00:03:a0:0f:00
1.420,536,04-07-07:00:00:03:a0:0f:00
1.422,536,04-07-07:00:00:03:a0:0f:00
1.423,536,04-07-07:00:00:03:a0:0f:00
1.425,536,04-07-07:00:00:03:a0:0f:00
1.426,536,04-07-07:00:00:03:a0:0f:00
1.428,536,04-07-07:00:00:03:a0:0f:00
1.429,536,04-07-07:00:00:03:a0:0f:00
1.431,536,04-07-07:00:00:03:a0:0f:00
1.432,536,04-07-07:00:00:03:a0:0f:00
1.434,536,04-07-07:00:00:03:a0:0f:00
1.435,536,04-07-07:00:00:03:a0:0f:00
1.441,536,04-07-07:00:00:03:a0:0f:00
1.442,536,04-07-07:00:00:03:a0:0f:00
1.447,536,04-07-07:00:00:03:a0:0f:00
1.448,536,04-07-07:00:00:03:a0:0f:00
1.450,536,04-07-07:00:00:03:a0:0f:00
1.451,536,04-07-07:00:00:03:a0:0f:00
1.453,536,04-07-07:00:00:03:a0:0f:00
1.454,536,04-07-07:00:00:03:a0:0f:00
1.455,536,04-07-07:00:00:03:a0:0f:00
1.457,536,04-07-07:00:00:03:a0:0f:00
1.458,536,04-07-07:00:00:03:a0:0f:00
1.460,536,04-07-07:00:00:03:a0:0f:00
1.461,536,04-07-07:00:00:03:a0:0f:00
1.462,536,04-07-07:00:00:03:a0:0f:00
1.464,536,04-07-07:00:00:03:a0:0f:00
1.465,536,04-07-07:00:00:03:a0:0f:00
1.467,536,04-07-07:00:00:03:a0:0f:00
1.468,536,04-07-07:00:00:03:a0:0f:00
1.470,536,04-07-07:00:00:03:a0:0f:00
1.471,536,04-07-07:00:00:03:a0:0f:00
1.472,536,04-07-07:00:00:03:a0:0f:00
1.474,536,04-07-07:00:00:03:a0:0f:00
1.477,536,04-07-07:00:00:03:a0:0f:00
1.478,536,04-07-07:00:00:03:a0:0f:00
1.485,536,04-07-07:00:00:03:a0:0f:00
1.486,536,04-07-07:00:00:03:a0:0f:00
1.488,536,04-07-07:00:00:03:a0:0f:00
1.489,536,04-07-07:00:00:03:a0:0f:00
1.491,536,04-07-07:00:00:03:a0:0f:00
1.492,536,04-07-07:00:00:03:a0:0f:00
1.493,536,04-07-07:00:00:03:a0:0f:00
1.495,536,04-07-07:00:00:03:a0:0f:00
1.496,536,04-07-07:00:00:03:a0:0f:00
1.498,536,04-07-07:00:00:03:a0:0f:00
1.499,536,04-07-07:00:00:03:a0:0f:00
1.500,536,04-07-07:00:00:03:a0:0f:00
1.502,536,04-07-07:00:00:03:a0:0f:00
1.503,536,04-07-07:00:00:03:a0:0f:00
1.505,536,04-07-07:00:00:03:a0:0f:00
1.506,536,04-07-07:00:00:03:a0:0f:00
1.508,536,04-07-07:00:00:03:a0:0f:00
1.509,536,04-07-07:00:00:03:a0:0f:00
1.510,536,04-07-07:00:00:03:a0:0f:00
1.512,536,04-07-07:00:00:03:a0:0f:00
1.513,536,04-07-07:00:00:03:a0:0f:00
1.515,536,04-07-07:00:00:03:a0:0f:00
1.516,536,04-07-07:00:00:03:a0:0f:00
1.521,536,04-07-07:00:00:03:a0:0f:00
1.522,536,04-07-07:00:00:03:a0:0f:00
1.529,536,04-07-07:00:00:03:a0:0f:00
1.530,536,04-07-07:00:00:03:a0:0f:00
1.532,536,04-07-07:00:00:03:a0:0f:00
1.533,536,04-07-07:00:00:03:a0:0f:00
1.535,536,04-07-07:00:00:03:a0:0f:00
1.536,536,04-07-07:00:00:03:a0:0f:00
1.537,536,04-07-07:00:00:03:a0:0f:00
1.539,536,04-07-07:00:00:03:a0:0f:00
1.540,536,04-07-07:00:00:03:a0:0f:00
1.542,536,04-07-07:00:00:03:a0:0f:00
1.543,536,04-07-07:00:00:03:a0:0f:00
1.544,536,04-07-07:00:00:03:a0:0f:00
1.546,536,04-07-07:00:00:03:a0:0f:00
1.547,536,04-07-07:00:00:03:a0:0f:00
1.549,536,04-07-07:00:00:03:a0:0f:00
1.550,536,04-07-07:00:00:03:a0:0f:00
1.552,536,04-07-07:00:00:03:a0:0f:00
1.553,536,04-07-07:00:00:03:a0:0f:00
1.554,536,04-07-07:00:00:03:a0:0f:00
