time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.200,1,1,1,-60.417,-10.361
0.200,1,2,0,-89.687,-39.631
0.200,1,3,0,-89.687,-39.631
0.200,1,4,0,-56.526,-6.470
0.200,1,5,0,-72.585,-22.529
0.200,1,6,0,-82.653,-32.596
0.200,1,7,0,-57.611,-7.555
0.200,1,8,0,-86.431,-36.375
0.200,1,9,0,-84.874,-34.818
0.200,2,1,1,-60.601,-14.606
0.200,2,2,0,-74.611,-28.616
0.200,2,3,0,-86.137,-40.141
0.200,2,4,0,-79.935,-33.940
0.200,2,5,0,-53.811,-7.816
0.200,2,6,0,-82.366,-36.371
0.200,2,7,0,-51.266,-5.271
0.200,2,8,0,-79.940,-33.945
0.200,2,9,0,-79.512,-33.516
0.201,1,1,1,-60.453,-10.364
0.201,1,2,0,-89.717,-39.627
0.201,1,3,0,-89.717,-39.627
0.201,1,4,0,-56.586,-6.496
0.201,1,5,0,-72.635,-22.545
0.201,1,6,0,-82.711,-32.621
0.201,1,7,0,-57.608,-7.518
0.201,1,8,0,-86.454,-36.364
0.201,1,9,0,-85.027,-34.938
0.201,2,1,1,-60.576,-14.590
0.201,2,2,0,-74.716,-28.730
0.201,2,3,0,-86.154,-40.168
0.201,2,4,0,-79.749,-33.763
0.201,2,5,0,-53.828,-7.842
0.201,2,6,0,-82.345,-36.360
0.201,2,7,0,-51.244,-5.258
0.201,2,8,0,-79.923,-33.937
0.201,2,9,0,-79.477,-33.491
0.206,1,1,1,-60.455,-10.364
0.206,1,2,0,-89.718,-39.627
0.206,1,3,0,-89.718,-39.627
0.206,1,4,0,-56.589,-6.498
0.206,1,5,0,-72.637,-22.546
0.206,1,6,0,-82.714,-32.622
0.206,1,7,0,-57.608,-7.517
0.206,1,8,0,-86.455,-36.364
0.206,1,9,0,-85.035,-34.943
0.206,2,1,1,-60.575,-14.589
0.206,2,2,0,-74.721,-28.735
0.206,2,3,0,-86.155,-40.169
0.206,2,4,0,-79.740,-33.754
0.206,2,5,0,-53.829,-7.843
0.206,2,6,0,-82.344,-36.359
0.206,2,7,0,-51.244,-5.258
0.206,2,8,0,-79.922,-33.937
0.206,2,9,0,-79.476,-33.490
0.211,1,1,1,-60.457,-10.364
0.211,1,2,0,-89.719,-39.626
0.211,1,3,0,-89.719,-39.626
0.211,1,4,0,-56.592,-6.499
0.211,1,5,0,-72.640,-22.547
0.211,1,6,0,-82.717,-32.624
0.211,1,7,0,-57.608,-7.515
0.211,1,8,0,-86.457,-36.363
